"city","state","lon","lat"
"Carolina","RI",-71.6875,41.4375
"Charlestown","RI",-71.6875,41.4375
"Chepachet","RI",-71.6875,41.9375
"Clayville","RI",-71.6875,41.8125
"Coventry","RI",-71.5625,41.6875
"West Greenwich","RI",-71.6875,41.6875
"East Greenwich","RI",-71.4375,41.6875
"Exeter","RI",-71.5625,41.5625
"Fiskeville","RI",-71.5625,41.6875
"Forestdale","RI",-71.5625,42.0625
"Glendale","RI",-71.5625,41.9375
"Greene","RI",-71.6875,41.6875
"Greenville","RI",-71.5625,41.8125
"Harmony","RI",-71.5625,41.9375
"Harrisville","RI",-71.6875,41.9375
"Hope","RI",-71.5625,41.6875
"Hope Valley","RI",-71.6875,41.5625
"Hopkinton","RI",-71.8125,41.4375
"Jamestown","RI",-71.4375,41.5625
"Kenyon","RI",-71.5625,41.4375
"Little Compton","RI",-71.1875,41.5625
"Manville","RI",-71.4375,41.9375
"Mapleville","RI",-71.6875,41.9375
"Newport","RI",-71.4375,41.5625
"Middletown","RI",-71.1875,41.5625
"North Kingstown","RI",-71.4375,41.5625
"North Scituate","RI",-71.6875,41.8125
"Oakland","RI",-71.6875,41.9375
"Pascoag","RI",-71.6875,41.9375
"Pawtucket","RI",-71.4375,41.8125
"Central Falls","RI",-71.4375,41.9375
"Cumberland","RI",-71.4375,41.9375
"Lincoln","RI",-71.4375,41.9375
"Portsmouth","RI",-71.1875,41.5625
"Prudence Island","RI",-71.1875,41.6875
"Rockville","RI",-71.8125,41.5625
"Saunderstown","RI",-71.4375,41.5625
"Shannock","RI",-71.6875,41.4375
"Slatersville","RI",-71.5625,41.9375
"Slocum","RI",-71.5625,41.5625
"Tiverton","RI",-71.1875,41.6875
"Wakefield","RI",-71.5625,41.4375
"Kingston","RI",-71.5625,41.4375
"Narragansett","RI",-71.5625,41.4375
"Peace Dale","RI",-71.6875,41.4375
"Warren","RI",-71.1875,41.6875
"Warwick","RI",-71.4375,41.6875
"Westerly","RI",-71.8125,41.4375
"West Kingston","RI",-71.5625,41.5625
"West Warwick","RI",-71.5625,41.6875
"Wood River Junction","RI",-71.6875,41.4375
"Woonsocket","RI",-71.5625,42.0625
"North Smithfield","RI",-71.5625,41.9375
"Wyoming","RI",-71.6875,41.5625
"Cranston","RI",-71.4375,41.8125
"North Providence","RI",-71.4375,41.8125
"East Providence","RI",-71.3125,41.8125
"Riverside","RI",-71.3125,41.8125
"Rumford","RI",-71.3125,41.8125
"Smithfield","RI",-71.5625,41.9375
"Johnston","RI",-71.4375,41.8125
